"","file","reference","doi_url","key_facts_paragraph"
"1","C:/Users/RichardsD/OneDrive - MWLR/Documents/GithubRepo/aicourse/Data/sgpapers/1-s2.0-S0006320720309058-main.pdf","Lum, S., & Min, N. K. (2021). Lessons in ecology and conservation from a tropical forest fragment in Singapore. Biological Conservation, 254, 108847.","https://doi.org/10.1016/j.biocon.2020.108847","Forest fragments are increasingly common in the tropics as pristine forests are cleared. Fragments stranded within cities are especially stress-prone due to their greatly altered environment and high human impacts. This paper reviews biodiversity and ecological studies from Bukit Timah, a tropical forest fragment in Singapore, to understand its contributions to tropical ecology and fragmentation effects. Bukit Timah is the highest natural point in Singapore, home to the largest remnant of old growth forest, with 55 ha of mixed dipterocarp forest surrounded by secondary forest. The forest has been a study site for nearly 30 years, providing insights into tropical forest ecology and the impacts of fragmentation and defaunation. The study found that while declines in plant, invertebrate, bird, and mammal diversity occurred historically and across two surveys made about 20 years apart, Bukit Timah showed remarkable resilience in some aspects. Aboveground biomass fluctuated but did not drastically decline, remaining comparable to primary forests in the region. Despite the extirpation of large fauna, the dispersal of large-seeded plant species continued, likely due to small mammals and birds. Exotic tree species are limited to recovering secondary forest fringes and do not threaten the primary forest. The paper highlights that biodiversity loss in Singapore is a cautionary tale of what awaits tropical biodiversity if habitat clearance continues. Over 90% of Singapore's original forest cover was lost within 50 years of British colonization, leading to significant species loss. Surveys indicated that while some species have disappeared, others have been newly recorded, suggesting ongoing biodiversity dynamics. The forest's stability is attributed to detailed monitoring and the resilience of certain species despite human impacts. The return of the Eurasian wild boar to Bukit Timah raises concerns about its potential negative impacts on forest diversity and regeneration, as it may predate on large-seeded plants. The study emphasizes the importance of understanding the ecological dynamics of forest fragments like Bukit Timah, which can inform conservation strategies and restoration efforts in urbanized tropical landscapes. Bukit Timah serves as a case study for the resilience of tropical forest fragments, demonstrating that even under significant human pressure, basic ecological processes can persist. The authors call for more detailed inventories of plant and animal populations and systematic population genetic surveys to gauge genetic variability in Bukit Timah's biota. The paper concludes that targeted, systems-oriented, cross-disciplinary work is essential for effective conservation strategies in tropical forest fragments. Bukit Timah has been designated as an ASEAN Heritage Park, highlighting its conservation value and the need for ongoing research and management. The findings suggest that small forest fragments can act as biodiversity safety nets, buying time for conservationists to develop comprehensive strategies to prevent species loss. The authors acknowledge the support of various individuals and institutions in their long-term research efforts at Bukit Timah. The study indicates that urban nature reserves like Bukit Timah can help people connect with nature, although the appreciation for biodiversity may be overshadowed by recreational use. The paper discusses the potential for restoration strategies in Bukit Timah, emphasizing the need for active management to facilitate the recovery of secondary forests. The authors highlight the importance of understanding the impacts of climate change on Bukit Timah's biota and the need for adaptive management strategies. The research underscores the significance of Bukit Timah as a living laboratory for studying the effects of fragmentation and defaunation on tropical forest ecosystems. The authors express hope that continued research at Bukit Timah will uncover new species and enhance understanding of tropical forest dynamics. The study serves as a reminder of the ongoing challenges faced by tropical forests in urban settings and the importance of conservation efforts."
"2","C:/Users/RichardsD/OneDrive - MWLR/Documents/GithubRepo/aicourse/Data/sgpapers/1-s2.0-S0048969721056990-main.pdf","Song, S., Hou, Y., Lim, R.B.H., Gaw, L.Y.F., Richards, D.R., Tan, H.T.W. (2022). Comparison of vegetable production, resource-use efficiency and environmental performance of high-technology and conventional farming systems for urban agriculture in the tropical city of Singapore. Science of the Total Environment, 807, 150621.","https://doi.org/10.1016/j.scitotenv.2021.150621","Urban farming can enhance food security and resilience in cities, but the performance of different farming systems under land and investment constraints has not been systematically studied. This research compares conventional soil-based farming, vertical farming with natural lighting (Vnat), and indoor vertical farming in Singapore. The study aims to evaluate the dynamic production of leafy vegetables over time, the associated water and energy use, and the global warming potential (GWP) of each farming system. A system dynamics (SD) model was developed to assess the potential quantity of leafy vegetables produced and the resource use of each system. The model predicts that Vnat farming will achieve the highest production level (110,000 t) and self-sufficiency (76.9% of total demand) by 2050, significantly outperforming indoor and soil-based farming systems under the same constraints. Indoor farming is projected to use less land than Vnat but is the most energy-intensive, requiring over 100 times more energy than Vnat farming. Soil-based farming can be established quickly but exhausts the allocated land easily. The GWP of indoor farming is the highest at 2.51 kg CO2-eq per kg of lettuce produced, indicating significant environmental impacts compared to the other systems. The results suggest that Vnat farming is the most efficient urban farming system for Singapore. The study highlights the importance of urban agriculture in improving local food production and mitigating the effects of global food supply chain disruptions, especially during crises like the COVID-19 pandemic. The SD model incorporates various factors, including investment, labor, energy, and water resource usage, to understand the complex interactions in the urban food system. The model's structure allows for the assessment of different farming systems' performance over time. The research indicates that Singapore can potentially achieve approximately 80% self-sufficiency in leafy vegetables by 2050 through the implementation of Vnat farming, which has lower land and energy demands compared to conventional methods. The study also emphasizes the need for continuous investment in urban agriculture to enhance food self-sufficiency and reduce greenhouse gas emissions associated with food imports. The findings are relevant not only for Singapore but also for other tropical cities facing similar challenges in food production and resource management."
"3","C:/Users/RichardsD/OneDrive - MWLR/Documents/GithubRepo/aicourse/Data/sgpapers/1-s2.0-S0169204617301986-main.pdf","Oh, R. R. Y., Richards, D. R., & Yee, A. T. K. (2018). Community-driven skyrise greenery in a dense tropical city provides biodiversity and ecosystem service benefits. Landscape and Urban Planning, 169, 115-123.","https://doi.org/10.1016/j.landurbplan.2017.08.014","This study investigates community-driven vertical greenery in Singapore, highlighting its role in urban ecology and ecosystem service provision. The research focuses on 1.86 ha of surveyed corridors, revealing a total of 265 plant species and cultivars, with an average richness of 124 species per hectare. The findings suggest that such greenery can enhance biodiversity and provide essential ecosystem services. The study identifies key ecosystem services provided by the surveyed species, including food and medicinal resources (77.5%) and aesthetic benefits (72.3%). Community-driven vertical greenery is proposed as a potential refuge for endangered native species, contributing to urban biodiversity conservation. Data collection involved surveying 135 residential buildings, measuring corridor dimensions, and quantifying plant pots as a proxy for greenery abundance. The study employed generalised linear mixed models to analyze the relationship between corridor design and plant abundance, finding that larger and simpler corridors support more greenery. Results indicate that corridors with larger areas and simpler geometries typically hold a higher abundance of plant pots. The study emphasizes the importance of community involvement in urban greening efforts, suggesting that local residents can effectively contribute to biodiversity and ecosystem service provision. The research highlights the potential of community-driven vertical greenery to mitigate the loss of green spaces in urban environments, particularly in densely populated cities like Singapore. It advocates for integrating informal green spaces into urban planning to enhance ecological and social benefits. The study also discusses the limitations of heavily planned vertical greenery, which often lacks biodiversity and does not reflect community preferences. It argues for a shift towards more inclusive approaches that allow residents to manage their own greenery. The findings underscore the need for urban planners and landscape architects to consider the ecological and social dimensions of vertical greenery, promoting designs that facilitate plant growth and community engagement. The presence of community-driven vertical greenery can foster interactions between humans and nature, enhancing residents' quality of life and appreciation for biodiversity. This interaction is crucial for mitigating the 'extinction of experience' associated with urban living. The study concludes that community-driven vertical greenery represents an untapped resource for urban conservation, offering opportunities for enhancing biodiversity, providing ecosystem services, and fostering human-nature connections. Future urban greening initiatives should focus on reducing costs and encouraging community participation, allowing for a more sustainable and diverse urban landscape that benefits both residents and local ecosystems."
"4","C:/Users/RichardsD/OneDrive - MWLR/Documents/GithubRepo/aicourse/Data/sgpapers/1-s2.0-S016920461931254X-main.pdf","Tan, P. Y., Zhang, J., Masoudi, M., Alemu, J. B., Edwards, P. J., Grêt-Regamey, A., Richards, D. R., Saunders, J., Song, X. P., Wong, L. W. (2020). A conceptual framework to untangle the concept of urban ecosystem services. Landscape and Urban Planning, 200, 103837.","https://doi.org/10.1016/j.landurbplan.2020.103837","Urban ecosystem service (UES) is an influential concept guiding urban landscape planning towards sustainability, but its application is hindered by definitional ambiguity. Two interpretations of UES exist: one refers to ecosystem services from natural and semi-natural ecosystems within urban boundaries, while the other includes a broader range of urban services. The paper develops a conceptual framework linking UES to natural and human-derived capital, proposing three normative propositions: (1) integrate multiple components of natural capital to provide UES, (2) reduce dependence on non-renewable resources, and (3) enhance UES through technology. The literature review indicates that UES is increasingly used in urban planning, but definitions vary significantly. The authors emphasize the need for a consistent understanding of UES to promote effective urban sustainability practices. The framework aims to clarify the relationships between the two interpretations of UES and highlights the importance of recognizing neglected aspects of natural capital that contribute to UES. The study identifies trends in UES literature, noting that while the number of publications on UES is growing, it remains a small fraction compared to broader ecosystem services literature. The authors argue that urban ecosystems should be viewed as socio-ecological-technological systems, where human well-being is dependent on a variety of services provided by both natural and human-derived capital. The paper discusses the limitations of focusing solely on natural ecosystems in urban areas, advocating for a more holistic approach that includes abiotic processes and human infrastructure. The authors propose that urban services, which are often derived from natural capital, should be recognized as urban ecosystem services, thereby broadening the definition of UES. The framework encourages interdisciplinary collaboration in urban planning, integrating ecological, social, and technological perspectives to enhance urban sustainability. The authors highlight the need for further research to explore the relationships between UES and related concepts such as green infrastructure and nature-based solutions. The paper concludes that a clearer understanding of UES can help address urban challenges and promote sustainable urban landscapes. The authors emphasize the importance of normative propositions in guiding the application of UES in urban planning and decision-making. The study suggests that urban planning should consider the life-cycle costs of urban ecosystem services to ensure net positive benefits. The authors call for a global approach to conserving natural capital, recognizing the interdependence of urban areas on resources from outside their boundaries. The paper discusses the potential trade-offs between urban ecosystem services and urban development, urging careful consideration of environmental impacts. The authors advocate for the use of technology and innovation in urban planning to enhance the provision of UES while minimizing resource consumption. The framework presented in the paper aims to facilitate a better understanding of the complex interactions between urban ecosystems and human well-being. The authors highlight the need for a shift in perspective towards viewing urban services as integral components of urban ecosystem services. The study underscores the importance of stakeholder engagement in the planning and management of urban ecosystem services. The authors suggest that future research should focus on operationalizing the framework in various urban contexts to assess its practical implications."
"5","C:/Users/RichardsD/OneDrive - MWLR/Documents/GithubRepo/aicourse/Data/sgpapers/1-s2.0-S0169204619315014-main.pdf","Xiao Ping Song, Daniel R. Richards, Peijun He, Puay Yok Tan, Does geo-located social media reflect the visit frequency of urban parks? A city-wide analysis using the count and content of photographs, Landscape and Urban Planning, 203, 2020, 103908.","https://doi.org/10.1016/j.landurbplan.2020.103908","This study examines park use in Singapore based on the count and visual content of photographs geo-located within parks. Measures of park use—the number of photo-user-days (PUD)—were derived from 325,173 and 94,890 photographs on Instagram and Flickr, respectively, and compared with results from household surveys (n = 2000). The analysis revealed that PUD at city parks reflected residents’ preferences better than their frequency of visits to parks, and that park size had a limited effect on PUD. Instagram users were more likely to upload photographs at parks closer to the coast and with more canopy cover, while Flickr users preferred parks with event spaces and lower-density housing nearby. The study concludes that social media can provide reasonable assessments of park popularity, but future studies need to consider scale effects, integrate data sources for better accuracy, and explore a diversity of goals beyond park use. Urban parks are important for outdoor recreation and contribute to health and well-being. The study highlights the potential of using geo-located social media data to understand park usage patterns and the factors influencing them. The research utilized automated classification of visual content from Flickr photographs, categorizing them into groups such as birds, wildlife, plants, flowers, recreation, and water/skyscapes to analyze park use. The study found that the presence of grass fields, waterfronts, and footpaths within parks positively influenced the occurrence of photographs on both Instagram and Flickr, indicating their importance for park popularity. Nearby infrastructure, including food establishments and public transportation, were significant predictors of photographs of recreation, suggesting that amenities attract more visitors to parks. The analysis also revealed trade-offs in park use, particularly for photographs of nature and open landscapes, indicating that urban infrastructure may negatively impact the types of photographs captured. The study employed multiple regression analyses to examine potential spatial factors influencing photograph counts and content types captured at parks, using a diverse set of park attributes. Household survey data on park usage and satisfaction were used as a validation dataset for the social media data, showing that park photography reflects residents’ favorite parks better than their self-reported frequency of visits. The research highlights the importance of understanding how urban parks are used and the factors that influence their attractiveness and accessibility, particularly in densely populated cities like Singapore. The study suggests that larger parks may not necessarily be more attractive, as park size had a limited impact on photograph counts, emphasizing the need for a nuanced understanding of park attributes. The findings indicate that social media data can serve as a valuable tool for urban park management, providing insights into visitor preferences and behaviors. The study acknowledges limitations, including the temporal mismatch between datasets and the challenges in interpreting photograph content, suggesting the need for integrated approaches in future research. The research contributes to the growing body of literature on the use of social media in environmental research, offering a framework for understanding human-environment interactions in urban settings. The study's results have practical implications for urban planning and park design, emphasizing the need to consider user preferences and the role of amenities in enhancing park visitation. The authors recommend future studies to explore the integration of social media data with traditional methods to better understand the values and motivations behind park use. The research was conducted at the National University of Singapore and Singapore-ETH Centre, highlighting the collaborative efforts in addressing urban sustainability challenges. The study underscores the potential of social media as a rapid and effective means of assessing urban park popularity and visitor engagement. The findings suggest that urban parks should be designed with a focus on accessibility, amenities, and natural features to enhance user experience and satisfaction."
"6","C:/Users/RichardsD/OneDrive - MWLR/Documents/GithubRepo/aicourse/Data/sgpapers/1-s2.0-S0169204621000943-main.pdf","Zhang, L., Tan, P. Y., & Richards, D. (2021). Relative importance of quantitative and qualitative aspects of urban green spaces in promoting health. Landscape and Urban Planning, 213, 104131.","https://doi.org/10.1016/j.landurbplan.2021.104131","This study examines the health benefits of urban green spaces (UGS) and how different components of UGS provision relate to mental and general health outcomes. It highlights the importance of both quantitative and qualitative aspects of UGS in urban planning. The research utilized a national representative household survey in Singapore with 1000 participants to analyze the associations between various UGS indicators and self-reported health outcomes. Key quantitative attributes measured included vegetation cover, canopy cover, and park area. Visual greenness was assessed using the Green View Index (GVI) based on Google Street View images, while subjective attributes like usage quality were measured through survey responses regarding UGS within a 400 m buffer around residences. Findings revealed that only canopy cover and perceived usage quality were significantly associated with positive mental health outcomes, while no UGS indicators showed significant relationships with general health. The study found that visual greenness at a 100 m scale had a significant positive relationship with mental health, indicating that proximity to greenery is crucial for health benefits. The research suggests that urban greening efforts should focus on enhancing canopy cover and the perceived quality of UGS to improve mental health outcomes among urban residents. The study also discusses the lack of significant relationships between objective and subjective UGS indicators, suggesting that perceptions of UGS may not align with actual measurements. The results indicate that while quantitative measures of UGS are important, qualitative aspects such as perceived usage quality may play a more significant role in promoting mental health. The research highlights the need for urban planners to consider both objective and subjective measures of UGS to effectively promote health benefits in urban environments. The study concludes that increasing the amount of visible greenery and improving the quality of UGS can enhance mental health, particularly in high-density urban areas like Singapore."
"7","C:/Users/RichardsD/OneDrive - MWLR/Documents/GithubRepo/aicourse/Data/sgpapers/1-s2.0-S0921344922004499-main.pdf","Yan, Y., Jaung, W., Richards, D.R., Carrasco, L.R. (2022). Where did the ecosystem services value go? Adaptive supply, demand and valuation of new urban green spaces. Resources, Conservation & Recycling, 187, 106616.","https://doi.org/10.1016/j.resconrec.2022.106616","The value of ecosystem services (ES) is often represented as static maps, which limits their utility in urban planning. This paper introduces a dynamic valuation framework that integrates a choice experiment, the travel cost method, and spatial modeling of adaptive demand to better assess ES value over time. The study highlights that temperature reductions from green spaces are valued by users, while factors like travel distance and crowdedness negatively impact the perceived value. The optimal locations for new green spaces shift when user behavior is considered, compared to static valuation methods. Urban green spaces are crucial for the well-being of city residents, especially as urbanization increases. The paper emphasizes the need for green development that balances social and environmental impacts, as well as the dynamic nature of ES supply and demand. A case study in Singapore illustrates the importance of understanding the spatial distribution of ES supply and demand. The study found that the demand for ES changes over time and is influenced by user behavior, which is often overlooked in traditional assessments. The research employed a choice experiment to estimate the marginal willingness to pay (MWTP) for various attributes of green spaces, including temperature reduction, tree canopy cover, and facilities. The results indicate that users prefer green spaces with higher biodiversity and amenities. The study simulated the addition of new green spaces across Singapore, identifying optimal locations based on both static and dynamic valuation methods. The findings suggest that incorporating user behavior can lead to more effective urban planning and ES management. The analysis revealed that areas with high population density and limited green space are prioritized for new developments. However, when considering user behavior, optimal locations shifted to areas with shorter travel distances and lower expected crowdedness. The results caution against static urban planning approaches that do not account for the adaptive behavior of users. The study advocates for a more nuanced understanding of how ES values fluctuate with changing demand and user preferences. The paper concludes that dynamic valuation methods that incorporate user behavior are essential for maximizing the benefits of urban green spaces. This approach can help mitigate issues related to overcrowding and enhance the overall quality of urban environments. The research contributes to the growing body of literature on urban ecosystem services by providing a framework that integrates behavioral economics with spatial analysis, offering valuable insights for policymakers and urban planners."
"8","C:/Users/RichardsD/OneDrive - MWLR/Documents/GithubRepo/aicourse/Data/sgpapers/1-s2.0-S0921800917301878-main.pdf","Belcher, R.N., & Chisholm, R.A. (2018). Tropical Vegetation and Residential Property Value: A Hedonic Pricing Analysis in Singapore. Ecological Economics, 149, 149–159.","https://doi.org/10.1016/j.ecolecon.2018.03.012","Effective urban planning relies on understanding homebuyers' preferences for neighborhood features that provide amenities, such as managed parks and trees. As tropical urban areas are expected to expand significantly by 2030, understanding homebuyers' utility from different vegetation types can aid global biodiversity conservation strategies. This study employed the hedonic pricing method to estimate the economic value of managed, spontaneous, and high conservation value vegetation in Singapore's public housing market using a mixed effects model. On average, vegetation positively affected property selling prices, accounting for 3% of the average property's value, totaling S$179 million over 13 months. Managed vegetation was the primary driver of positive price effects, impacting 98.1% of properties. In contrast, high conservation value vegetation had mostly negative effects (90.5% of properties), while spontaneous vegetation effects were mixed and generally small. To balance the goals of protecting high conservation value vegetation and maximizing homeowner utility, new public housing developments should incorporate more managed vegetation while being distanced from high conservation areas. The study area was Singapore, focusing on public housing apartments. Resale data from 15,962 apartments sold between April 2013 and April 2014 were analyzed, with property locations geocoded for precise distance calculations to various amenities and vegetation types. The hedonic pricing method assesses how different combinations of neighborhood, structural, and environmental characteristics influence property prices. Vegetation variables are included due to their provision of positive amenities, such as aesthetic value and recreation. The analysis revealed that proximity to nature areas is a significant determinant of property prices globally, with recreational parks showing clearer positive effects than forests. However, few studies have focused on tropical areas, highlighting a gap in understanding homebuyers' preferences in these regions. The results indicated that managed vegetation is the most valued type by property purchasers, likely due to the ecosystem services and recreational activities it provides. This aligns with previous research showing a preference for manicured landscapes over natural vegetation. High conservation value vegetation generally had negative effects on property prices, suggesting that homebuyers prefer managed areas. Only properties with limited managed vegetation nearby appreciated the presence of conservation areas. The study found that structural characteristics, such as apartment type and age, significantly influenced property prices, corroborating previous research. Distance to the city center and train stations also had substantial effects on property values. The findings suggest that government initiatives to develop Singapore as a 'city in a garden' will benefit residents, emphasizing the importance of managed green spaces in urban planning. The study recommends that future public housing developments maintain high quantities of managed vegetation and be located away from high conservation areas to maximize property value and biodiversity conservation. Public awareness campaigns are necessary to enhance understanding of the ecosystem services provided by vegetation, ensuring that these areas are not undervalued by property purchasers. The hedonic pricing method provides a partial valuation of vegetation, excluding other ecosystem services that could be significant for a holistic assessment of vegetation value. The study acknowledges limitations, including the absence of land-use zoning data and the potential underestimation of smaller vegetation patches due to the pixel size used in vegetation classification. Future research should explore the value of vegetation in the private housing market and consider the non-substitutable benefits of older vegetation types in land-use decisions."
"9","C:/Users/RichardsD/OneDrive - MWLR/Documents/GithubRepo/aicourse/Data/sgpapers/1-s2.0-S1470160X17300341-main.pdf","Richards, D.R., & Edwards, P.J. (2017). Quantifying street tree regulating ecosystem services using Google Street View. Ecological Indicators, 77, 31–40.","https://doi.org/10.1016/j.ecolind.2017.01.028","The urban heat island effect poses significant challenges for tropical cities like Singapore, which experience high solar radiation year-round. Street trees can mitigate elevated urban temperatures by providing shade and enhancing evaporative cooling, although increased humidity may negatively impact thermal comfort. This study utilized hemispherical photographs from Google Street View to quantify green canopy coverage at 50 m intervals across over 80% of Singapore's road network. The analysis revealed that a median of 13% of annual solar radiation was shaded, with over 70% of this effect attributed to tree canopies. The research found significant variation in shading effects among different urban land use types, with parks and low-density areas benefiting more from tree shade compared to industrial and high-density residential areas. This mapping approach can help prioritize areas for new tree planting. The study was conducted in Singapore, a tropical city-state with a high percentage of urban and managed vegetation. The methodology employed allows for cost-effective assessments of urban ecosystem services using existing datasets. Google Street View images were processed to classify shaded and green areas, providing a high spatial resolution analysis of canopy cover. The accuracy of machine classification was validated against human estimates, showing strong correlation. Four indicators were generated from the analysis: total canopy cover, green canopy cover, shading of radiation, and green canopy shading of radiation. These indicators were compared across various land use types using statistical models. The results indicated that vegetation covered 8% of the sky area in Singapore's streets, with green canopy cover accounting for a median of 71% of total canopy cover. Significant differences in canopy cover were observed among land use types. The study estimated that across Singapore, more than 95% of incoming overstory radiation reached ground level at 39% of locations. The median shading provided by green canopies was 8% of total overstory radiation. The findings highlight the importance of street trees in urban planning, as they provide significant shading and contribute to thermal comfort. The study suggests that increasing tree canopy cover could help reduce ground surface and air temperatures. The research emphasizes the utility of Google Street View for quantifying urban ecosystem services, suggesting that similar methodologies could be applied in other tropical and temperate cities to assess canopy coverage and shading effects."
"10","C:/Users/RichardsD/OneDrive - MWLR/Documents/GithubRepo/aicourse/Data/sgpapers/1-s2.0-S1470160X2030279X-main.pdf","Richards, D., & Wang, J.W. (2020). Fusing street level photographs and satellite remote sensing to map leaf area index. Ecological Indicators, 115, 106342. https://doi.org/10.1016/j.ecolind.2020.106342","https://doi.org/10.1016/j.ecolind.2020.106342","Leaf area index (LAI) is a crucial parameter for understanding vegetation structure and ecosystem services. Traditional methods for mapping LAI involve satellite remote sensing and field measurements, which can be time-consuming. This study presents a novel approach that combines high-resolution Sentinel 2 satellite imagery with ground measurements from a publicly available database of street-level photographs. The methodology developed in this study allows for rapid and scalable mapping of LAI, particularly in urban areas where vegetation is heterogeneous. By utilizing existing street-level photographs, the researchers were able to generate a large dataset for training their models, which were validated against field data collected using established techniques. The study focuses on Singapore, a tropical city-state with significant urban vegetation. The researchers sampled 12,828 street-level photographs and used them to estimate LAI using two methods: one for normal photographs and another for hemispherical photographs. The results were compared to field measurements to assess accuracy. The random forest regression model was employed to predict LAI based on spectral bands from the Sentinel 2 imagery. The model explained a significant portion of the variation in LAI, with both methods showing strong correlations with field validation data. The cover method yielded a lower root mean squared error (RMSE) compared to the hemispherical method. The LAI values extracted from street-level photographs ranged from 0 to 16.1, with a median of 0.83 for the cover method and 0 to 9.5 with a median of 0.98 for the hemispherical method. The study found that both methods provided valuable insights into LAI across Singapore, with the cover method being more efficient for large-scale applications. The findings suggest that the fusion of street-level image analysis with satellite remote sensing can effectively map LAI over large areas, providing a cost-effective alternative to traditional field measurement methods. This approach could be particularly beneficial in urban environments where vegetation is diverse and street-level imagery is abundant. The study highlights the potential for using existing street-level photograph databases to enhance ecological modeling and urban planning. By providing high-resolution LAI maps, the methodology can support decision-making related to urban sustainability and ecosystem service management. Despite the promising results, the study acknowledges limitations, such as the potential bias in street-level photographs towards urban areas and the challenges of capturing LAI for vegetation below 2.5 meters. Future research should explore integrating additional data sources to improve LAI estimates for various vegetation types. The authors conclude that the proposed method for mapping LAI using street-level photographs and satellite imagery can be applied globally, offering a scalable solution for environmental monitoring and assessment. This approach aligns with the growing need for accurate and timely data on urban vegetation and its associated ecosystem services."
